Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New_Recovered,Active Cases,Serious/Critical Cases,Total Cases per million,Deaths per million,Total Tests,Tests per million,Population
Serbia,"753,581","+2,434","7,248",+8,"718,462",+450,"27,871",65,"86,651",833,"4,975,112","572,067","8,696,722"
UAE,"714,396",+994,"2,035",+4,"698,989","+1,570","13,372",,"71,240",203,"73,467,662","7,326,195","10,028,079"
Austria,"683,219","+1,602","10,776",+4,"657,994",+981,"14,449",104,"75,363","1,189","75,354,301","8,312,050","9,065,670"
Tunisia,"654,798","+3,763","23,030",+98,"605,370","+2,352","26,398",518,"54,744","1,925","2,536,711","212,079","11,961,142"
Cuba,"627,311","+7,639","4,984",+82,"575,139","+10,023","47,188",461,"55,423",440,"7,743,806","684,164","11,318,635"
Lebanon,"597,978","+1,124","8,035",+4,"550,334","+1,220","39,609",54,"88,066","1,183","4,759,054","700,877","6,790,140"
Greece,"576,672","+3,067","13,509",+22,"523,638","+1,860","39,525",337,"55,641","1,303","15,209,593","1,467,506","10,364,244"
Saudi Arabia,"543,562",+244,"8,520",+8,"531,324",+407,"3,718","1,020","15,338",240,"27,163,038","766,492","35,438,109"
Georgia,"536,202","+4,031","7,101",+73,"473,502","+4,585","55,599",,"134,713","1,784","7,902,789","1,985,463","3,980,325"
Ecuador,"500,084",,"32,166",,"443,880",,"24,038",759,"27,857","1,792","1,759,004","97,986","17,951,535"
Bolivia,"488,933",+530,"18,371",+21,"431,002","+1,007","39,560",220,"41,238","1,549","2,254,815","190,177","11,856,420"
Belarus,"476,265","+1,862","3,735",+12,"469,569","+1,504","2,961",,"50,421",395,"7,739,587","819,374","9,445,735"
Guatemala,"460,017","+4,754","11,768",+74,"393,921","+3,726","54,328",5,"25,142",643,"2,156,121","117,841","18,296,911"
Paraguay,"458,229",+22,"15,675",+22,"436,286",+260,"6,268",133,"63,348","2,167","1,767,359","244,331","7,233,476"
Costa Rica,"455,784","+2,787","5,431",+14,"366,572","+1,921","83,781",445,"88,541","1,055","2,006,420","389,767","5,147,741"
Panama,"455,527",+649,"7,039",+8,"440,407",+805,"8,081",108,"103,695","1,602","3,635,106","827,483","4,392,967"
Bulgaria,"450,144","+1,713","18,690",+43,"404,121",+344,"27,333",298,"65,352","2,713","4,142,487","601,406","6,888,005"
Sri Lanka,"416,961","+4,591","8,371",+214,"353,191","+2,122","55,399",,"19,378",389,"4,575,585","212,651","21,516,831"
Vietnam,"410,366","+12,920","10,053",+386,"198,614","+10,126","201,699",,"4,173",102,"15,271,562","155,281","98,348,196"
Azerbaijan,"409,745","+4,203","5,469",+35,"354,864","+1,724","49,412",,"39,996",534,"4,395,646","429,073","10,244,528"
Kuwait,"409,177",+168,"2,415",+1,"403,852",+432,"2,910",99,"94,209",556,"3,738,636","860,783","4,343,299"
Slovakia,"394,535",+89,"12,548",+1,"380,814",+59,"1,173",13,"72,224","2,297","3,301,773","604,422","5,462,695"
Myanmar,"386,202","+2,688","14,968",+118,"311,952",,"59,282",,"7,044",273,"3,484,999","63,560","54,830,444"
Uruguay,"384,531",+73,"6,026",+1,"377,330",+139,"1,175",10,"110,256","1,728","3,305,423","947,759","3,487,620"
Croatia,"372,219",+596,"8,318",+2,"360,548",+494,"3,353",47,"91,319","2,041","2,510,859","616,008","4,076,019"
Dominican Republic,"349,253",+338,"4,007",,"340,244",+312,"5,002",134,"31,828",365,"1,944,815","177,232","10,973,290"
Ireland,"346,070","+1,875","5,092",,"291,595","+1,301","49,383",59,"69,195","1,018","6,415,912","1,282,837","5,001,345"
Denmark,"342,474",+925,"2,576",+3,"326,650","+1,003","13,248",21,"58,887",443,"80,490,288","13,840,084","5,815,737"
Palestine,"334,472","+1,863","3,663",+6,"316,087",+470,"14,722",38,"63,858",699,"2,133,280","407,290","5,237,738"
Honduras,"333,890","+1,058","8,802",+51,"106,397",+312,"218,691",654,"33,104",873,"964,147","95,593","10,085,968"
Venezuela,"329,736",,"3,955",,"315,385",,"10,396",681,"11,634",140,"3,359,014","118,513","28,342,896"
Libya,"303,790","+1,613","4,165",+13,"217,624",+780,"82,001",,"43,530",597,"1,503,172","215,388","6,978,913"
Ethiopia,"303,171","+1,458","4,618",+12,"272,659",+840,"25,894",561,"2,564",39,"3,210,062","27,150","118,236,075"
Oman,"301,784",,"4,049",,"291,039",,"6,696",68,"57,419",770,"1,550,000","294,909","5,255,855"
Lithuania,"296,738",+634,"4,520",+6,"278,593",+502,"13,625",103,"110,791","1,688","4,379,586","1,635,171","2,678,366"
Egypt,"287,393",+234,"16,706",+5,"237,385",+329,"33,302",90,"2,749",160,"3,068,679","29,350","104,555,191"
Bahrain,"272,148",+106,"1,388",,"269,766",+104,994,2,"153,808",784,"5,865,829","3,315,146","1,769,403"
Moldova,"266,591",+277,"6,387",+3,"256,283",,"3,921",119,"66,264","1,588","1,557,691","387,183","4,023,137"
Slovenia,"265,703",+542,"4,446",+2,"256,634",+197,"4,623",12,"127,787","2,138","1,438,812","691,980","2,079,268"
S. Korea,"245,158","+1,841","2,265",+8,"214,673","+1,802","28,220",427,"4,777",44,"12,927,795","251,905","51,320,114"
Armenia,"240,261",+522,"4,796",+11,"225,593",+359,"9,872",,"80,906","1,615","1,517,486","511,001","2,969,635"
Kenya,"233,801",+932,"4,666",+31,"218,228","+1,457","10,907",149,"4,241",85,"2,352,240","42,665","55,133,206"
Qatar,"232,004",+212,602,+1,"228,540",+213,"2,862",22,"82,628",214,"2,481,062","883,630","2,807,805"
Bosnia and Herzegovina,"212,306",+617,"9,785",+15,"192,218",,"10,303",,"65,180","3,004","1,132,357","347,643","3,257,242"
Zambia,"205,704",+389,"3,587",,"199,859",+425,"2,258",126,"10,841",189,"2,252,495","118,707","18,975,220"
Mongolia,"204,035","+2,289",923,+4,"189,024","+1,521","14,088",192,"61,105",276,"3,647,780","1,092,455","3,339,067"
Algeria,"194,186",+512,"5,148",+27,"131,921",+386,"57,117",36,"4,338",115,"230,861","5,157","44,762,276"
Nigeria,"190,333",+618,"2,308",+10,"169,815",+189,"18,210",11,898,11,"2,727,834","12,866","212,010,971"
Kyrgyzstan,"175,009",+196,"2,507",+4,"168,398",+386,"4,104",131,"26,325",377,"1,635,882","246,067","6,648,103"
North Macedonia,"173,689","+1,032","5,818",+36,"154,174",+534,"13,697",,"83,373","2,793","1,137,629","546,077","2,083,275"
Norway,"155,086","+1,552",814,,"88,952",,"65,320",10,"28,351",149,"7,017,791","1,282,932","5,470,118"
Botswana,"153,793",,"2,213",,"144,254",,"7,326",1,"63,914",920,"1,629,455","677,178","2,406,244"
Uzbekistan,"153,204",+841,"1,056",+6,"145,693",+705,"6,455",23,"4,502",31,"1,377,915","40,494","34,027,799"
Afghanistan,"153,007",+47,"7,103",+2,"109,626",,"36,278","1,124","3,831",178,"750,512","18,793","39,936,318"
Mozambique,"145,199",+731,"1,834",+9,"130,642",+377,"12,723",32,"4,501",57,"842,455","26,114","32,261,058"
Albania,"143,174",+921,"2,487",+1,"132,376",+290,"8,311",3,"49,814",865,"1,032,654","359,288","2,874,169"
Latvia,"141,867",+181,"2,573",+2,"137,253",+107,"2,041",18,"76,187","1,382","3,391,033","1,821,088","1,862,092"
Estonia,"140,692",+351,"1,287",+1,"132,957",+321,"6,448",13,"105,977",969,"1,736,244","1,307,841","1,327,565"
Finland,"124,855",+570,"1,018",,"46,000",,"77,837",23,"22,494",183,"6,472,338","1,166,050","5,550,654"
Namibia,"124,403",+128,"3,369",+8,"118,615",+59,"2,419",37,"47,961","1,299","654,469","252,315","2,593,858"
Zimbabwe,"124,236",+250,"4,374",+18,"110,549",+366,"9,313",12,"8,221",289,"1,254,428","83,008","15,112,084"
Uganda,"119,327",+186,"2,981",+8,"95,450",+29,"20,896",356,"2,518",63,"1,565,071","33,019","47,398,689"
Ghana,"117,040",+599,"1,001",+10,"109,134",+665,"6,905",62,"3,678",31,"1,582,950","49,749","31,818,922"
Montenegro,"113,171",+671,"1,708",+4,"103,680",+352,"7,783",11,"180,163","2,719","607,923","967,787","628,158"
Cyprus,"112,856",+324,496,+5,"90,755",,"21,605",92,"92,695",407,"9,366,973","7,693,650","1,217,494"
El Salvador,"94,060",,"2,880",+8,"79,740",,"11,440",145,"14,418",441,"1,204,834","184,678","6,523,958"
Cambodia,"91,369",+411,"1,858",+17,"87,299",+306,"2,212",,"5,379",109,"3,074,106","180,985","16,985,459"
Rwanda,"85,723",+522,"1,065",+9,"45,278",+6,"39,380",40,"6,435",80,"2,377,122","178,447","13,321,184"
Cameroon,"83,425",,"1,350",,"80,433",,"1,642",152,"3,055",49,"1,751,774","64,155","27,305,210"
Maldives,"80,539",+103,225,,"78,694",+180,"1,620",18,"146,036",408,"1,325,586","2,403,597","551,501"
Luxembourg,"75,517",+75,830,,"73,790",+45,897,5,"118,421","1,302","3,403,361","5,336,914","637,702"
Senegal,"72,533",+218,"1,729",+12,"60,107",+511,"10,697",41,"4,205",100,"730,444","42,343","17,250,824"
Singapore,"67,050",+122,55,+3,"65,968",+59,"1,027",7,"11,358",9,"17,338,504","2,937,041","5,903,392"
Jamaica,"64,899",+605,"1,465",+12,"47,968",+50,"15,466",61,"21,807",492,"540,622","181,656","2,976,078"
Malawi,"60,221",+131,"2,148",+19,"46,830",+257,"11,243",285,"3,057",109,"382,620","19,424","19,697,894"
Ivory Coast,"54,566",+267,416,+1,"53,027",+123,"1,123",,"2,011",15,"883,824","32,579","27,128,924"
DRC,"54,508",+282,"1,057",,"30,858",,"22,593",,588,11,"306,299","3,305","92,686,759"
Australia,"48,816",+976,991,+2,"32,942",+330,"14,883",125,"1,889",38,"30,734,356","1,189,374","25,840,792"
Réunion,"48,683",,332,,"45,980",,"2,371",33,"53,932",368,"173,764","192,498","902,680"
Angola,"46,929",+203,"1,186",+4,"43,129",+149,"2,614",8,"1,379",35,"830,836","24,408","34,039,596"
Fiji,"45,373",+205,479,+11,"25,289",+151,"19,605",39,"50,195",530,"369,712","409,002","903,936"
Guadeloupe,"45,277",,439,,"2,250",,"42,588",23,"113,135","1,097","369,615","923,569","400,203"
Trinidad and Tobago,"43,999",+249,"1,267",+9,"38,022",+368,"4,710",22,"31,322",902,"305,681","217,610","1,404,717"
Madagascar,"42,857",+3,955,,"41,291",+4,611,12,"1,503",33,"240,474","8,435","28,508,936"
Eswatini,"42,483",+326,"1,063",+6,"32,365",+597,"9,055",10,"36,186",905,"312,353","266,057","1,174,008"
French Polynesia,"40,178",,385,+15,"33,500",,"6,293",55,"142,082","1,361","26,355","93,199","282,781"
Sudan,"37,699",,"2,831",,"31,630",,"3,238",,837,63,"238,579","5,299","45,026,154"
Malta,"35,990",+40,439,+1,"34,513",+66,"1,038",2,"81,260",991,"1,178,309","2,660,440","442,900"
Cabo Verde,"35,079",+87,308,+1,"34,013",+58,758,23,"62,313",547,"205,858","365,680","562,946"
Martinique,"34,845",,405,,104,,"34,336",1,"92,938","1,080","315,249","840,823","374,929"
