Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New_Recovered,Active Cases,Serious/Critical Cases,Total Cases per million,Deaths per million,Total Tests,Tests per million,Population
North America,"47,316,623","+136,068","986,758","+1,961","37,312,065","+60,237","9,017,800","32,057",,,,,
Asia,"69,136,509","+263,964","1,019,894","+4,078","64,357,559","+226,952","3,759,056","41,364",,,,,
South America,"36,769,110","+1,199","1,125,858",+50,"34,552,025","+1,488","1,091,227","23,400",,,,,
Europe,"54,879,399","+136,874","1,167,675","+1,425","49,909,985","+143,592","3,801,739","11,096",,,,,
Africa,"7,758,844","+28,983","193,727",+686,"6,837,439","+30,048","727,678","4,571",,,,,
Oceania,"155,911","+1,046","2,055",+2,"112,541",+330,"41,315",233,,,,,
World,"216,017,117","+568,134","4,495,982","+8,202","193,082,320","+462,647","18,438,815","112,721","27,713",576.8,,,
USA,"39,446,007","+99,440","652,967",+882,"30,760,670","+28,550","8,032,370","24,858","118,373","1,959","576,774,059","1,730,827","333,236,063"
India,"32,649,066","+46,741","437,400",+511,"31,845,163","+31,191","366,503","8,944","23,394",313,"514,954,309","368,983","1,395,605,514"
Brazil,"20,676,561",,"577,605",,"19,609,503",,"489,453","8,318","96,485","2,695","56,580,445","264,027","214,297,661"
Russia,"6,844,049","+19,509","180,041",+798,"6,112,035","+19,217","551,973","2,300","46,875","1,233","177,100,000","1,212,959","146,006,524"
France,"6,711,268","+18,249","114,083",+95,"6,170,720","+25,432","426,465","2,128","102,556","1,743","121,518,857","1,856,956","65,439,801"
UK,"6,666,399","+38,046","132,243",+100,"5,298,660","+47,486","1,235,496",982,"97,610","1,936","266,714,771","3,905,255","68,296,383"
Turkey,"6,311,637","+18,340","55,713",+244,"5,786,139","+14,528","469,785",633,"73,922",653,"75,280,437","881,685","85,382,439"
Argentina,"5,161,926",,"111,117",,"4,838,745",,"212,064","2,952","113,020","2,433","21,718,507","475,525","45,672,715"
Colombia,"4,899,085",,"124,567",,"4,729,909",,"44,609","8,155","95,116","2,418","23,936,680","464,732","51,506,424"
Iran,"4,869,414","+36,279","105,287",+571,"4,084,991","+31,969","679,136","7,817","57,134","1,235","28,213,229","331,031","85,228,469"
Spain,"4,831,809","+9,489","84,000",+139,"4,258,193","+20,370","489,616","1,685","103,298","1,796","60,618,810","1,295,948","46,775,633"
Italy,"4,517,434","+7,826","129,002",+45,"4,250,314","+6,717","138,118",511,"74,842","2,137","83,101,723","1,376,781","60,359,415"
Indonesia,"4,056,354","+12,618","130,781",+599,"3,689,256","+19,290","236,317",,"14,652",472,"31,530,576","113,891","276,849,002"
Germany,"3,924,980","+11,035","92,620",+23,"3,718,900","+4,500","113,460",923,"46,675","1,101","68,329,706","812,556","84,092,334"
Mexico,"3,291,761","+20,633","256,287",+835,"2,623,625","+15,992","411,849","4,798","25,226","1,964","9,599,527","73,565","130,490,211"
Poland,"2,887,739",+258,"75,335",+3,"2,656,635",+128,"155,769",48,"76,398","1,993","19,636,867","519,509","37,798,866"
South Africa,"2,747,018","+12,045","81,187",+361,"2,498,429","+13,321","167,402",546,"45,656","1,349","16,292,228","270,779","60,168,090"
Ukraine,"2,280,203","+2,032","53,632",+66,"2,204,682","+1,253","21,889",177,"52,502","1,235","11,903,521","274,079","43,430,932"
Peru,"2,146,169",,"198,064",,N/A,N/A,N/A,"1,356","64,066","5,912","16,586,657","495,130","33,499,590"
